"RegionName","City","State","Metro","CountyName","SizeRank","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"77494","Katy","TX","Houston, TX","Fort Bend",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950,3000,3000,3000,3000,3000,3000,3000,3000,3300,3300,3300,3200,3000,3100,3100,3100,2975,3000,3000
"77479","Sugar Land","TX","Houston, TX","Fort Bend",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2865,2800,2880,3000,2997.5,2925,2925,2900,2800,2850,2900,3000,3000,2900,2800,3150,3550,3425,3200
"02135","Boston","MA","Boston, MA","Suffolk",3,,3200,3200,3200,3400,3500,3450,3200,3300,3700,3600,3700,3600,3800,3650,3500,3525,3500,3600,3600,3500,3500,3600,3700,3800,3850,3800,3800,3850,3800,3750,3750,3750,3900,4000,3900,3800,3800,3825,3800,3800,3900,3800,3800,3800,3850,3725,3800,3800,3800,3995,4000,4000,4000,3900,4000,4000,4000,4000,3750,3712.5,4200,4350,4350,4300,4300,4300,4300,4300,4300,4200,4200,4300,4200,4200,4200,4200,4250,4250,4250,4250
"06511","New Haven","CT","Waterbury, CT","New Haven",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1297.5,1300,1375,1350,1300,1395,1525,1650,1650,1625,1650,1600,1600
"92880","Eastvale","CA","Palm Desert, CA","Riverside",5,,,2500,2497.5,2487,2400,2500,2500,2499.5,2450,2495,2497,2450,2495,2495,2400,2400,2450,2425,2500,2500,2500,2477.5,2450,2450,2495,2500,2500,2500,2500,2500,2500,2500,2500,2450,2500,2500,2500,2500,2550,2500,2600,2600,2600,2600,2600,2555,2650,2600,2600,2600,2650,2580,2600,2695,2650,2700,2662.5,2697.5,2777.5,2695,2700,2750,2800,2780,2785,2800,2800,2800,2800,2795,2750,2797.5,2800,2800,2895,2800,2900,2900,2900,2900
"33178","Doral","FL","Miami, FL","Miami-Dade",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,3949.5,4275,4000,3800,3900,4100,4500,4100,4500,4300,4500,4250,4300,4500,4500,4200,4225,4500,4500
"28173","Waxhaw","NC","Charlotte, NC","Union",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2395,2395,2345,2295,2250,2190,2250,2297.5,2272.5,2195,2195,2370,2572,2445
"19121","Philadelphia","PA","Philadelphia, PA","Philadelphia",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,2750,2750,2750,2750,2750,2750,2750,2750,2867.5,3000,3000,3000,2900,2875,2800,2750,2750,2625,2750,2500
"30519","Buford","GA","Atlanta, GA","Gwinnett",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,1962.5,1975,1995,1995,1995,2000,2000,1997.5,2038.5,2066,2097.5
"02130","Boston","MA","Boston, MA","Suffolk",10,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3600,3600,3350,3375,3450,3500,4000,3500,3500,3400,3400,3400,3600,3600,3600,3500,3400,3300,3200,3000,2912.5,3200,3000,3395,3500,3700,3500,3400,3550,3500,3500,3100,3400,3350,3500,3800,3900,3625,3500,3500,3200,3200,3300,3275,3400,3500,3750,3750,3600,3650,3650,3750,3850,3797.5
"02128","Boston","MA","Boston, MA","Suffolk",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,3300,3175,3300,3275,3225,3100,2975,2600,2650,2800,3162.5,3500,3700,3700,4000,3900,3825,3450
"02446","Brookline","MA","Boston, MA","Norfolk",12,,,4100,4100,4000,4200,4100,4000,3450,3450,3700,3795,3800,3800,4000,4000,3800,4000,3950,3950,3950,3800,3700,3700,3900,4500,4549.5,4549.5,4500,4500,4500,4500,4500,4500,4300,4000,4000,4000,4200,4300,4200,4200,4000,4000,4000,4072.5,3950,4200,4297.5,4800,5000,4800,4375,4600,4600,4447.5,4800,4800,4500,4297.5,4700,4750,4795,4600,4600,4600,4500,5100,4900,5300,4600,5300,5500,5500,5500,6250,6250,6000,5750,5600,5500
"02840","Newport","RI","Providence, RI","Newport",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3000,3000,3000,2625,2900,2800,2866.5,3000,3000,3000,3000,3200,2900,2600,2450
"02125","Boston","MA","Boston, MA","Suffolk",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,3000,3000,3100,3100,3100,3000,3000,3000,2800,2795,2800,2800,3062.5,3175,3100,3100,3100,3100,2950
"02143","Somerville","MA","Boston, MA","Middlesex",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225,3800,4212.5,4275,4300,4000,3650,3775,3800,3775,4450,4000,4300,3800,4000,3800,3785,3692.5,3050,3175,3200,3200,3600,3900,4200,4350,4200,4200,4200
"02144","Somerville","MA","Boston, MA","Middlesex",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,4500,4550,4400,4200,3800,3850,3975,4100,3970,3850,4400,4600,4600,4500,4500,4449.5,4200
"02145","Somerville","MA","Boston, MA","Middlesex",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,3000,3000,3200,3400,3287.5,3200,3000,2800,2650,2650,2625,2700,2700,2875,3100,3250,3500,3700,3950
"02134","Boston","MA","Boston, MA","Suffolk",18,3800,3999,3800,3900,4000,4000,3900,3900,3900,3900,3900,3900,4000,4000,4000,4000,3900,3975,3975,3975,3900,3975,3975,3800,3975,4050,4000,4100,4150,4000,4000,3900,3850,3800,4000,4000,4050,4200,4200,4100,4000,3995,3900,3875,3900,3900,3900,4100,4350,4400,4500,4500,4400,4400,4500,4245,4200,4350,4100,4000,4200,4500,4500,4500,4500,4500,4500,4400,4400,4400,4250,4500,4650,4800,4800,4800,4750,4600,4500,4500,4500
"90210","Beverly Hills","CA","Los Angeles, CA","Los Angeles",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000,25000,27000,27000,27000,28500,27500,28500,28500,30975,30975,35000,35000,36000,35000,33000,36000,36000,36750,35000
"02445","Brookline","MA","Boston, MA","Norfolk",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3850,3900,3900,4150,4199.5,3900,3925,3775,3800,4200,4400,4500,5000,5000,4800,4400,4250,4250
"02120","Boston","MA","Boston, MA","Suffolk",21,,4287.5,4150,4200,4600,4500,4500,4500,4500,4500,4600,4600,4700,4700,4600,4600,4800,4700,4700,4800,4700,4800,4800,5000,4800,4800,4800,4800,5000,4825,4800,4550,4600,4700,4750,4850,5000,4800,4800,4800,4800,4700,4575,4500,4500,4500,4550,4550,5000,5000,5000,5000,4973.5,4800,4800,4650,4687.5,4700,4400,4600,5100,5200,5100,5100,5000,5000,4950,4900,4800,4800,4900,5100,5300,5300,5300,5250,5100,5000,5000,5000,4999
